ticket_id,customerID,issue_type,priority,channel,status,created_days_ago,resolution_hours,resolution
TKT-000001,1452-KIOVK,Technical Support,Medium,Phone,Closed,192,56.71,Escalated to specialist
TKT-000002,1452-KIOVK,Payment Issue,Low,Web,Resolved,67,81.54,Escalated to specialist
TKT-000003,6713-OKOMC,Technical Support,Low,Phone,Resolved,313,80.22,Account information updated
TKT-000004,6713-OKOMC,Payment Issue,Low,Email,Closed,247,33.02,Account information updated
TKT-000005,6388-TABGU,Billing,Low,Chat,Closed,134,47.19,Escalated to specialist
TKT-000006,5129-JLPIS,Technical Support,Low,Web,In Progress,121,84.34,Pending
TKT-000007,4190-MFLUW,Payment Issue,Low,Chat,Resolved,159,53.85,Account information updated
TKT-000008,6322-HRPFA,Service Change,Low,Phone,In Progress,291,83.8,Pending
TKT-000009,6047-YHPVI,Payment Issue,High,Phone,Resolved,90,25.39,Issue resolved remotely
TKT-000010,6047-YHPVI,Technical Support,High,Chat,Closed,206,21.89,Service configuration updated
TKT-000011,6047-YHPVI,Internet Connectivity,Medium,Phone,Resolved,101,62.62,Payment method updated
TKT-000012,5380-WJKOV,Billing,Medium,Chat,In Progress,46,58.17,Pending
TKT-000013,5380-WJKOV,Service Change,Medium,Phone,Closed,122,13.76,Issue resolved remotely
TKT-000014,2954-PIBKO,Technical Support,Low,Phone,Resolved,182,60.18,Replacement equipment requested
TKT-000015,2954-PIBKO,Technical Support,Low,Web,Resolved,350,24.74,Issue resolved remotely
TKT-000016,9420-LOJKX,Streaming,Medium,Email,In Progress,96,53.88,Pending
TKT-000017,9420-LOJKX,Technical Support,Low,Email,Open,47,33.86,Pending
TKT-000018,9420-LOJKX,Internet Connectivity,Medium,Email,In Progress,8,54.05,Pending
TKT-000019,7495-OOKFY,Account Access,High,Phone,Resolved,276,5.33,Payment method updated
TKT-000020,7495-OOKFY,Technical Support,Medium,Phone,In Progress,64,18.92,Pending
TKT-000021,5698-BQJOH,Account Access,Medium,Phone,Resolved,56,38.87,Escalated to specialist
TKT-000022,5698-BQJOH,Payment Issue,Medium,Web,Resolved,161,44.59,Escalated to specialist
TKT-000023,5698-BQJOH,Technical Support,Medium,Web,Resolved,310,9.38,Payment method updated
TKT-000024,5698-BQJOH,Payment Issue,High,Web,In Progress,115,25.51,Pending
TKT-000025,8028-PNXHQ,Service Change,Low,Phone,Closed,224,36.86,Escalated to specialist
TKT-000026,5630-AHZIL,Account Access,Low,Chat,Closed,351,114.91,Billing adjustment applied
TKT-000027,4445-ZJNMU,Technical Support,Medium,Phone,Closed,195,35.85,Issue resolved remotely
