attribute_type,attribute_value,customers,average_risk_score,high_risk_customers,critical_customers,high_risk_rate,critical_rate
payment_method,Electronic check,474,45.15584504790581,228,36,0.4810126582278481,0.0759493670886076
internet_service,Fiber optic,613,43.09272209043705,281,37,0.45840130505709625,0.06035889070146819
contract,Month-to-month,773,43.063584510288344,318,37,0.4113842173350582,0.047865459249676584
online_security,No,701,42.418367869783566,302,37,0.43081312410841655,0.052781740370898715
tech_support,No,702,41.89346509961272,291,37,0.41452991452991456,0.05270655270655271
device_protection,No,623,40.0980619985236,244,26,0.391653290529695,0.04173354735152488
online_backup,No,646,39.95931077762572,258,34,0.3993808049535604,0.05263157894736842
streaming_tv,No,584,34.662094617732755,185,13,0.3167808219178082,0.02226027397260274
streaming_movies,No,568,33.81068386115051,174,12,0.30633802816901406,0.02112676056338028
streaming_movies,Yes,529,30.887191696064363,144,25,0.2722117202268431,0.04725897920604915
streaming_tv,Yes,513,29.82676332084915,133,24,0.25925925925925924,0.04678362573099415
phone_service,Yes,1286,26.91030705438511,293,37,0.22783825816485226,0.028771384136858476
gender,Male,722,26.847204991927214,167,19,0.23130193905817176,0.02631578947368421
gender,Female,687,26.744354038945016,151,18,0.2197962154294032,0.026200873362445413
phone_service,No,123,25.612994772255462,25,0,0.2032520325203252,0.0
device_protection,Yes,474,22.284177669348814,74,11,0.15611814345991562,0.023206751054852322
online_backup,Yes,451,21.574452501120454,60,3,0.13303769401330376,0.0066518847006651885
payment_method,Mailed check,326,19.76466852629409,31,0,0.0950920245398773,0.0
internet_service,DSL,484,18.859409501887658,37,0,0.07644628099173553,0.0
payment_method,Credit card (automatic),309,16.516649966495272,31,0,0.10032362459546926,0.0
payment_method,Bank transfer (automatic),300,16.020852990001366,28,1,0.09333333333333334,0.0033333333333333335
tech_support,Yes,395,15.530583140312428,27,0,0.06835443037974684,0.0
online_security,Yes,396,14.667972130387023,16,0,0.04040404040404041,0.0
contract,One year,300,11.469375072508475,0,0,0.0,0.0
device_protection,No internet service,312,7.09378329671518,0,0,0.0,0.0
online_security,No internet service,312,7.09378329671518,0,0,0.0,0.0
internet_service,No,312,7.09378329671518,0,0,0.0,0.0
online_backup,No internet service,312,7.09378329671518,0,0,0.0,0.0
streaming_tv,No internet service,312,7.09378329671518,0,0,0.0,0.0
streaming_movies,No internet service,312,7.09378329671518,0,0,0.0,0.0
tech_support,No internet service,312,7.09378329671518,0,0,0.0,0.0
contract,Two year,336,3.059791311670374,0,0,0.0,0.0
